Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
2025-10-25 13:32:18,8.8.8.8,172.217.164.46,TCP,12055,80,1343
2025-10-25 13:32:14,13.107.42.14,1.1.1.1,TCP,22771,3389,1121
2025-10-25 13:32:13,1.1.1.1,192.168.1.102,UDP,16529,80,164
2025-10-25 13:32:12,172.217.164.46,13.107.42.14,TCP,8766,8080,606
2025-10-25 13:32:10,151.101.1.140,192.168.1.102,TCP,58859,443,404
2025-10-25 13:32:06,151.101.1.140,192.168.1.102,TCP,59659,443,803
2025-10-25 13:32:00,1.1.1.1,8.8.8.8,UDP,31789,80,1071
2025-10-25 13:31:55,192.168.1.101,8.8.8.8,ICMP,52685,443,1375
2025-10-25 13:31:53,192.168.1.102,8.8.8.8,ICMP,62918,53,1370
2025-10-25 13:31:51,104.244.42.129,192.168.1.101,UDP,12385,443,1311
2025-10-25 13:31:45,151.101.1.140,192.168.1.101,TCP,52639,22,1478
2025-10-25 13:31:41,1.1.1.1,142.250.185.206,UDP,58082,53,473
2025-10-25 13:31:39,13.107.42.14,8.8.8.8,UDP,23736,8080,480
2025-10-25 13:31:37,142.250.185.206,1.1.1.1,ICMP,27806,80,69
2025-10-25 13:31:36,13.107.42.14,151.101.1.140,ICMP,2633,22,167
2025-10-25 13:31:35,192.168.1.102,104.244.42.129,TCP,64877,443,870
2025-10-25 13:31:29,104.244.42.129,1.1.1.1,ICMP,22733,80,91
2025-10-25 13:31:28,192.168.1.101,172.217.164.46,TCP,8611,22,871
2025-10-25 13:31:24,13.107.42.14,142.250.185.206,TCP,6382,3389,133
2025-10-25 13:31:23,172.217.164.46,104.244.42.129,TCP,12783,3389,1311
2025-10-25 13:31:17,192.168.1.102,8.8.8.8,UDP,22575,80,323
2025-10-25 13:31:16,151.101.1.140,8.8.8.8,TCP,27241,8080,879
2025-10-25 13:31:11,8.8.8.8,104.244.42.129,UDP,31038,3389,1442
2025-10-25 13:31:07,172.217.164.46,8.8.8.8,ICMP,45132,443,335
2025-10-25 13:31:07,192.168.1.101,104.244.42.129,UDP,51927,3389,357
2025-10-25 13:31:04,172.217.164.46,192.168.1.102,ICMP,50107,3389,1040
2025-10-25 13:30:48,192.168.1.102,151.101.1.140,TCP,51989,80,884
2025-10-25 13:30:47,151.101.1.140,192.168.1.102,ICMP,31466,3389,630
2025-10-25 13:30:41,172.217.164.46,142.250.185.206,UDP,13611,443,170
2025-10-25 13:30:38,172.217.164.46,192.168.1.102,UDP,27710,53,849
2025-10-25 13:30:36,1.1.1.1,151.101.1.140,TCP,51908,22,720
2025-10-25 13:30:24,13.107.42.14,104.244.42.129,UDP,43336,22,334
2025-10-25 13:30:19,8.8.8.8,192.168.1.102,TCP,64458,8080,1053
2025-10-25 13:30:17,192.168.1.102,104.244.42.129,TCP,15107,80,1489
2025-10-25 13:30:16,104.244.42.129,8.8.8.8,ICMP,2887,8080,1346
2025-10-25 13:30:09,13.107.42.14,1.1.1.1,UDP,39181,443,902
2025-10-25 13:30:07,13.107.42.14,192.168.1.101,UDP,28250,53,738
2025-10-25 13:30:04,8.8.8.8,151.101.1.140,UDP,6625,80,1180
2025-10-25 13:30:04,13.107.42.14,192.168.1.100,TCP,3297,53,365
2025-10-25 13:30:01,192.168.1.100,8.8.8.8,TCP,18011,22,1076
2025-10-25 13:29:58,192.168.1.102,151.101.1.140,UDP,25943,22,1180
2025-10-25 13:29:57,8.8.8.8,151.101.1.140,UDP,21954,22,1242
2025-10-25 13:29:54,192.168.1.100,151.101.1.140,TCP,49597,80,1143
2025-10-25 13:29:53,192.168.1.100,192.168.1.101,ICMP,29835,80,862
2025-10-25 13:29:53,142.250.185.206,1.1.1.1,TCP,57433,22,513
2025-10-25 13:29:53,142.250.185.206,172.217.164.46,TCP,13243,53,1195
2025-10-25 13:29:53,192.168.1.102,142.250.185.206,TCP,13219,8080,185
2025-10-25 13:29:52,172.217.164.46,192.168.1.100,TCP,19091,80,211
2025-10-25 13:29:50,1.1.1.1,172.217.164.46,TCP,13788,443,1038
2025-10-25 13:29:47,192.168.1.101,192.168.1.102,ICMP,33451,22,1204
2025-10-25 13:29:47,104.244.42.129,172.217.164.46,ICMP,38139,3389,557
2025-10-25 13:29:44,142.250.185.206,104.244.42.129,TCP,27509,8080,734
2025-10-25 13:29:41,192.168.1.100,192.168.1.102,TCP,35581,8080,183
2025-10-25 13:29:41,192.168.1.101,8.8.8.8,UDP,61240,8080,1046
2025-10-25 13:29:41,104.244.42.129,192.168.1.102,UDP,32924,8080,1210
2025-10-25 13:29:38,192.168.1.101,192.168.1.100,UDP,16641,22,347
2025-10-25 13:29:35,142.250.185.206,151.101.1.140,UDP,8766,3389,1434
2025-10-25 13:29:35,151.101.1.140,172.217.164.46,TCP,46626,53,1382
2025-10-25 13:29:32,13.107.42.14,172.217.164.46,TCP,11288,443,650
2025-10-25 13:29:31,172.217.164.46,192.168.1.102,UDP,2960,80,925
2025-10-25 13:29:31,142.250.185.206,192.168.1.101,UDP,59122,22,1264
2025-10-25 13:29:25,1.1.1.1,13.107.42.14,TCP,58389,53,242
2025-10-25 13:29:22,1.1.1.1,13.107.42.14,ICMP,45238,53,1028
2025-10-25 13:29:20,192.168.1.101,104.244.42.129,TCP,16760,22,987
2025-10-25 13:29:05,151.101.1.140,192.168.1.102,UDP,12112,80,898
2025-10-25 13:29:04,13.107.42.14,142.250.185.206,TCP,44973,22,1033
2025-10-25 13:29:03,192.168.1.100,192.168.1.102,UDP,48795,3389,1371
2025-10-25 13:29:03,192.168.1.101,142.250.185.206,ICMP,54169,22,324
2025-10-25 13:28:58,192.168.1.101,192.168.1.100,ICMP,56179,80,402
2025-10-25 13:28:58,192.168.1.100,192.168.1.101,TCP,15316,3389,318
